Treatment	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	AIH	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl	nonAIHhepControl
Sample	18	21	22	35	36	39	40	43	47	52	58	59	68	69	70	71	1	2	3	5	6	7	9	11	20	23	26	27	29	30	31	32	33	37	42	46	72	74	77
Bacteria	201	124	370	56	79	336	45	126	96	122	233	52	285	294	123	223	67	213	187	125	223	127	169	47	81	119	206	171	154	301	226	61	182	105	166	234	122	200	142
Bacteria|Actinobacteria	5	1	1	14	0	8	0	0	0	69	0	0	76	0	0	0	0	1	0	18	12	0	9	0	0	0	2	6	0	21	0	0	0	0	28	0	5	0	1
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales	35	77	58	26	17	59	6	4	8	8	19	27	60	29	21	18	96	24	5	20	11	0	1	57	352	12	16	27	217	9	6	25	0	71	15	14	7	51	13
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales	15	24	7711	9	94	53	7	443	146	375	191	27	231	215	918	269	105	4	26	90	70	17	156	93	32635	6	4065	47	2935	1192	0	24	28	513	1838	57	6	53	274
Bacteria|Actinobacteria|Actinobacteria|Coriobacteriales	76	18	27	71	10	48	2	84	779	15	64	9	277	45	269	130	102	82	46	45	54	22	34	0	1719	1	135	249	700	333	10	12	4	16	4210	70	3	77	108
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales	0	0	0	4	0	0	0	2	0	0	8	0	1	5	0	3	0	0	0	0	6	0	10	0	0	0	4	29	0	0	0	0	0	0	20	0	0	0	0
Bacteria|Bacteroidetes	0	0	0	0	0	0	2	0	720	0	0	0	0	0	0	0	154	4	0	312	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales	33627	50740	85965	40341	98220	35147	14104	43800	47452	54032	38340	33035	35225	49466	29783	64885	76392	34580	44959	41447	33261	30177	42051	1047	2164	25532	39942	64809	26646	58982	48125	27421	33313	12205	50939	80059	38644	54734	29636
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	0	1	0	0	0	0	1	0	1	1	0	3	2	1	6	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	5	0	0	0	4	0
Bacteria|Bacteroidetes|[Saprospirae]|[Saprospirales]	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
