Leberstatus	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	0_healthy	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose	3_zirrhose
SampleID	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH020	AIH021	AIH022	AIH026	AIH029	AIH030	AIH032	AIH036	AIH037	AIH039	AIH042	AIH070	AIH074	AIH077
Bacteria	718	257	191	261	215	79	387	336	273	1569	56	154	124	145	97	223	215	111	191	67	213	187	125	223	127	169	81	124	370	206	154	301	61	79	105	336	166	123	200	142
Bacteria|Actinobacteria	297	0	1	3	0	0	2	5	0	143	0	0	0	0	0	0	102	0	0	0	1	0	18	12	0	9	0	1	1	2	0	21	0	0	0	8	28	0	0	1
Bacteria|Actinobacteria|Actinobacteria	2359	57	229	688	584	32	95	469	251	790	181	121	801	627	386	23	301	12973	8890	303	110	77	155	135	39	191	34706	119	7796	4216	3852	1534	61	121	600	160	6063	1208	181	395
Bacteria|Actinobacteria|Coriobacteriia	0	0	0	0	0	0	0	3	0	120	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	10	0	0	0	4	0	0	0	0	0	0	20	0	0	0
Bacteria|Bacteroidetes	235	0	0	0	0	0	4	0	0	0	0	0	0	354	0	0	0	0	0	154	4	0	312	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia	20841	57527	67424	35702	54062	58503	62494	32806	61590	16807	22626	45712	77936	38476	72944	93146	37212	9698	19045	76392	34580	44959	41447	33261	30177	42051	2164	50740	85965	39942	26646	58982	27421	98220	12205	35147	50939	29783	54734	29636
Bacteria|Bacteroidetes|Flavobacteriia	0	0	1	11	0	2	0	9	3	0	1	0	5	4	0	0	0	2	0	0	3	0	0	0	0	0	3	1	0	0	0	0	1	0	5	0	0	6	4	0
Bacteria|Bacteroidetes|[Saprospirae]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Cyanobacteria[Melainabacteria]|[Melainabacteria]	185	19	116	4	13	74	397	69	138	0	70	8	12	2	691	0	0	0	19	0	2006	0	25	68	0	5	0	0	0	0	0	0	4	0	0	4	0	0	0	1
Bacteria|Deinococcus-Thermus|Deinococci	0	0	0	0	0	0	0	12	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	2	0
Bacteria|Euryarchaeota|Methanobacteria	1	157	2	2	0	0	246	175	89	1227	0	0	3	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	48	0	0	0
Bacteria|Euryarchaeota|Thermoplasmata	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	9	91	364	60	82	0	25	265	56	96	11	0	60	42	19	0	0	6	70	8	35	260	7	62	0	0	1	13	2	13	431	0	8	0	26	15	0	4	0	0
Bacteria|Firmicutes|Bacilli	859	118	493	446	472	76	176	1154	177	84	228	1081	463	132	128	60	162	245	108	709	1005	240	266	231	135	29	10103	900	300	483	20747	39	1057	418	651	340	58	168	1997	19
Bacteria|Firmicutes|Clostridia	60903	20946	19052	39330	23656	19061	25913	57026	14755	49522	42890	39616	34176	53743	12476	5661	36904	61208	38691	21317	11869	20047	49288	27196	51	7182	22505	24530	18219	6645	15466	30001	376	7637	6046	27947	41337	59987	28338	13171
Bacteria|Firmicutes|Erysipelotrichi	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichia	731	505	1977	2496	8600	616	193	559	171	4383	365	356	2703	1255	111	3159	3669	558	409	463	101	511	161	1661	1	593	282	13474	863	349	13	444	42	25	207	237	63	365	370	865
Bacteria|Firmicutes|Negativicutes	2231	1001	4761	6786	1318	17627	16828	10732	2075	3137	15784	12484	1375	4191	4812	30	23028	6425	6732	6053	9959	36467	14856	22481	24703	42722	4862	1164	911	51805	34828	1420	85637	3682	11300	37033	17357	9879	15490	30669
Bacteria|Firmicutes|unclassified-Firmicutes	274	13	629	0	2	109	4	207	0	242	424	9	1010	1	0	0	0	0	2419	0	0	0	479	573	1	1	0	0	3	0	0	5	2	0	0	0	0	0	0	0
Bacteria|Fusobacteria|Fusobacteriia	0	0	0	19	16	1	28	0	2	13	2	2	31	0	0	2	4	4	0	1	46	1	6	22	1	0	115	33	70	94	1970	18	9	1	43	11	0	1	0	0
Bacteria|Lentisphaerae|Lentisphaeria	61	41	5	2	0	0	0	0	12	771	0	0	0	2	0	0	0	0	0	3	0	97	1	0	0	0	0	1	0	4	0	0	0	2	0	0	0	0	0	0
Bacteria|Proteobacteria	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0
Bacteria|Proteobacteria|Alphaproteobacteria	662	5730	1269	1022	561	447	1647	2668	12929	86	512	1988	480	1267	1678	325	623	66	503	548	21567	2617	306	137	86	201	10	698	839	84	7	363	171	226	495	526	220	1474	620	442
Bacteria|Proteobacteria|Betaproteobacteria	570	266	103	168	7664	621	2420	393	10217	85	71	1104	609	685	514	504	211	6	750	167	3139	475	151	623	5	35	52	219	210	1490	4148	154	26	914	65	1502	131	1456	1556	1987
Bacteria|Proteobacteria|Deltaproteobacteria	574	63	45	72	112	66	44	268	767	469	66	15	54	53	18	0	14	0	0	12	75	10	4	16	0	7	0	5	0	2	0	6	64	0	8	8	0	10	0	34
Bacteria|Proteobacteria|Epsilonproteobacteria	3	2	1	3	0	0	0	6	1	1	2	0	0	0	0	0	1	130	0	5	72	0	1	5	0	0	28	1	6	7	25	0	4	2	37	3	0	0	6	1
Bacteria|Proteobacteria|Gammaproteobacteria	36	1808	89	48	59	27	14	208	1218	4	667	30	99	116	194	597	87	142	121	126	1254	280	5	2676	1698	18	408	1975	72	1423	5702	173	4844	258	7028	8605	2364	106	1442	166
Bacteria|Spirochaetes|Spirochaetia	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Synergistetes|Synergistia	0	0	7	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Unclassified|unclassified-Bacteria	3	82	13	5	15	2	3	195	4	4	542	2	7	4	156	0	45	0	372	0	2	0	0	97	2	33	13	0	109	10	1	0	0	12	17	13	0	3	89	0
Bacteria|Verrucomicrobia|Verrucomicrobiae	25	6616	1378	186	12891	36	62	2126	2084	561	2002	598	289	10034	1244	6	0	3	1938	7	19	13	3904	9	16	1	1	8	15	702	3	143	13	0	6	9	3926	1278	4	9123
