"","AIH049","AIH050","AIH051","AIH053","AIH054","AIH055","AIH056","AIH057","AIH060","AIH061","AIH062","AIH063","AIH064","AIH065","AIH066","AIH076","AIH081","AIH082","AIH083","AIH001","AIH002","AIH003","AIH005","AIH006","AIH007","AIH009","AIH018","AIH020","AIH021","AIH022","AIH023","AIH026","AIH027","AIH029","AIH030","AIH031","AIH032","AIH033","AIH035","AIH036","AIH037","AIH039","AIH040","AIH042","AIH043","AIH046","AIH047","AIH052","AIH058","AIH059","AIH068","AIH069","AIH070","AIH071","AIH072","AIH074","AIH077"
"Barnesiella_intestinihominis",664,10262,1180,5233,1054,1,10578,98,17457,528,1933,1078,25921,8183,15731,165,4349,1253,1,8018,718,7,10845,604,7,35,9,0,194,6,0,273,49,7,495,0,11,4,3298,5636,2,5,287,4024,4640,16,4660,6092,10498,5133,898,2,2241,3,4,2,1
"Bifidobacterium_bifidum",44,0,0,22,0,0,0,40,2,9,17,0,19,11,0,0,0,113,0,0,0,5,5,3,0,7,0,4263,4,3,1,111,6,4,2,0,0,0,0,0,28,1,0,10,8,10,0,0,3,0,17,45,1,0,0,3,6
"Bilophila_wadsworthia",227,35,4,13,11,0,6,21,0,377,29,0,12,23,10,0,14,0,0,5,16,10,4,5,0,6,0,0,5,0,0,2,48,0,0,0,64,20,8,0,8,8,1,0,2,0,1,10,4,0,67,4,10,0,0,0,0
"Bradyrhizobium_elkanii",0,0,0,6,0,3,0,0,0,0,0,30,0,0,0,4,2,0,0,4,0,9,0,1,0,1,4,0,12,5,0,0,4,0,5,0,3,1,0,3,5,4,0,2,1,2,0,0,0,2,0,0,2,0,0,1,0
"Butyricimonas_virosa",1,10,0,1,66,0,0,0,214,0,1,1,0,34,0,0,9,0,28,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,2,0,27,5,27,2,17,12,65,7,1,0,0,3,0
"Christensenella_minuta",0,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,8,0,7,51,74,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,43,0,0,21,3,0,3,0,53,37,0,0,0,0
"Clostridium_disporicum",14,7,93,62,38,9,6,2687,10,144,3,26,28,13,1,0,124,382,4,560,0,108,0,16,1,0,0,1,1323,5,1,0,0,0,34,5,8,0,84,0,30,134,0,0,334,93,3,6,130,2,41,26,155,18,6,237,131
"Collinsella_aerofaciens",341,16,83,303,63,10,34,7,3,399,51,33,507,56,0,0,6,0,53,24,10,37,6,20,0,9,15,1648,1,6,0,113,218,674,69,0,0,1,54,1,0,28,1,4103,83,54,703,5,20,4,183,27,255,35,0,56,20
"Coprococcus_eutactus",106,0,257,0,0,0,0,0,0,37,36,0,0,0,0,0,198,39,150,0,0,0,2,23,2,0,0,0,7,14,0,0,0,1,1555,0,3,0,0,0,0,3,2,0,306,1,1,41,0,0,59,65,0,0,0,0,0
"Dialister_pneumosintes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,11,1986,0,0,42,0,0,12,35,105,365,0,0,746,0,2,1,51,385,2,0,3,0,2,0,0,0,0,0,7,2,0,33,0
"Dorea_longicatena",497,100,16,59,14,27,61,63,54,200,28,37,69,16,33,1,50,110,3736,11,18,39,42,17,1,17,23,0,784,9,0,36,11,1,1,11,0,0,51,16,0,64,1,44,12,14,22,15,53,11,446,20,11,56,2,37,8
"Eggerthella_lenta",7,0,4,0,1,3,5,0,3,2,0,0,1,1,4,0,3,60,0,2,10,4,2,0,1,1,2,65,4,0,0,0,0,0,0,10,11,2,0,0,12,4,0,3,0,1,0,0,0,0,0,2,0,3,0,9,0
"Eubacterium_brachy",0,0,0,9,1,0,0,0,0,0,11,0,5,7,0,0,0,0,0,0,0,4,0,3,0,4,0,0,2,0,0,9,0,0,4,0,4,0,0,0,2,0,0,0,0,0,4,3,0,0,0,0,12,5,0,0,0
"Eubacterium_eligens",908,3,50,73,1,365,78,1,196,0,36,264,57,12,14,0,91,14,8,155,331,0,13,8,0,0,14,0,0,0,3,0,0,2,0,90,0,0,12,2,385,0,9,4,10,41,16,60,1332,0,196,228,11,62,3,960,0
"Eubacterium_siraeum",169,319,104,905,0,0,20,0,14,3,31,2,5,51,10,1,0,0,333,0,87,0,94,14,0,0,6,0,2,0,0,0,0,0,78,0,0,0,17,6,0,0,1,11,5,119,142,139,492,14,2,0,89,181,444,0,932
"Fusicatenibacter_saccharivorans",1093,24,100,160,132,27,290,10,0,314,32,132,86,33,18,0,30,1038,2379,7,44,55,100,0,0,3,209,207,20,2,9,4,0,1395,56,22,0,10,21,11,2,71,11,21,20,6,16,82,70,27,91,10,44,42,1,424,2
"Gemella_haemolysans",5,0,0,0,4,0,1,5,0,1,0,1,7,1,1,12,0,0,0,2,2,13,6,0,0,0,6,13,12,0,1,0,15,15,0,0,0,0,4,1,14,0,0,3,3,0,0,5,0,4,0,19,9,1,0,5,0
"Granulicatella_adiacens",22,2,4,35,16,1,10,13,15,2,42,12,165,7,2,18,8,0,0,81,18,64,38,10,3,6,70,213,264,1,11,0,0,52,15,4,1,5,2,6,40,51,9,1,4,0,8,8,1,4,12,160,5,5,1,88,1
"Haemophilus_parainfluenzae",27,0,36,6,0,20,0,10,43,0,634,20,75,13,181,28,52,54,17,70,336,265,2,2414,0,3,1189,397,1347,10,22,1087,9,17,150,290,5,0,2456,244,6913,8236,1,4,87,17,80,2,539,5,173,1,39,0,0,1361,128
"Holdemania_filiformis",0,0,0,7,8,0,0,6,7,7,1,11,4,3,2,78,0,2,0,0,8,2,1,0,0,2,56,0,0,0,0,0,0,0,0,5,0,3,1,0,0,0,0,2,2,0,0,0,0,0,4,0,0,1,1,0,0
"Intestinibacter_bartlettii",194,59,1332,3790,2056,694,24,1181,15,59,22,122,219,3135,70,4,2025,5376,1599,372,213,1271,0,64,3,116,3,0,1508,26,12,2,3,16,1053,18,7,2,133,43,2204,414,19,0,1376,1013,1322,878,50,55,1490,1068,2274,129,5,983,1609
"Intestinimonas_butyriciproducens",2,4,0,1,3,12,8,14,9,6,0,104,5,8,4,682,7,0,2,6,0,3,3,0,0,0,5,0,1,144,0,0,676,0,6,22,1,11,3,0,0,22,1,0,0,10,22,7,0,0,0,13,0,24,0,0,8
"Kluyvera_ascorbata",0,1782,2,3,1,0,0,20,1161,0,2,0,1,0,0,14,0,82,0,10,0,0,0,37,2,2,0,0,0,28,12,0,5,2317,1,7,1225,0,0,0,0,5,3,2,0,6,4,0,0,0,6,9,0,0,1,0,0
"Lachnoclostridium_aldenense",0,0,8,7,12,1,7,30,2,1,5,1,3,0,3,0,3,155,0,0,0,1,0,0,0,0,20,16,72,0,6,0,398,0,0,0,0,3,3,0,11,9,0,4,0,0,3,2,0,1,0,1,0,0,0,6,1
"Lachnoclostridium_asparagiforme",0,3,1,4,1,4,0,4,3,0,0,11,0,1,7,0,6,0,4,0,2,0,1,0,0,2,2,0,2,48,5,0,225,0,1,0,0,2,4,1,8,10,0,9,0,0,25,3,0,0,1,0,0,2,0,14,2
"Lachnoclostridium_citroniae",1,7,0,6,3,7,0,8,6,3,1,6,2,7,0,13,4,140,16,0,1,4,5,0,0,2,17,39,262,26,2,0,65,870,4,1,0,11,1,2,26,51,0,9,0,2,8,1,4,0,0,0,5,0,0,53,21
"Lachnoclostridium_scindens",0,4,8,7,23,0,1,55,5,0,4,0,7,18,2,0,0,0,0,0,10,1,0,0,0,0,38,0,1,0,0,0,0,0,0,0,0,8,0,5,36,0,1,1,0,0,1,8,4,1,0,1,2,0,0,16,4
"Lactobacillus_antri",1,12,81,65,82,2,19,155,14,2,19,0,42,23,21,0,0,0,0,4,5,5,2,3,1,0,12,0,0,0,0,0,0,41,0,0,26,8,0,0,0,2,0,0,0,0,1,20,13,14,5,1146,0,0,0,201,0
"Lactobacillus_rogosae",241,0,0,114,31,32,8,35,0,8,43,100,11,16,0,0,27,59,13,0,161,0,69,4,0,0,5,0,272,0,0,46,2,82,0,0,0,0,0,15,0,0,1,33,41,7,0,7,26,0,121,29,32,0,0,0,12
"Lactobacillus_salivarius",7,35,303,89,216,0,41,630,28,0,40,3,99,35,35,13,5,0,0,5,0,0,0,22,5,0,14,0,0,0,0,0,0,1035,1,0,68,3,0,0,0,0,3,0,0,0,1,50,22,24,19,1231,12,14,1,6,0
"Lactococcus_lactis",14,3,14,15,33,5,26,92,3,3,28,0,29,19,27,0,0,16,26,0,3,89,1,12,0,0,0,0,80,21,1,8,7,0,0,5,0,0,1,0,0,58,0,0,1,15,2,14,4,4,0,120,2,12,0,0,0
"Odoribacter_splanchnicus",555,156,705,911,395,6727,768,226,1901,248,78,87,749,1071,277,1,58,1,1965,717,714,456,567,19,0,455,442,0,598,34,0,304,63,0,79,1012,1,362,143,196,0,669,10,458,795,36,358,358,590,56,477,465,46,642,50,208,309
"Oscillospira_plautii",4,2,3,8,15,9,3,5,28,1,0,16,55,6,49,259,19,240,8,3,29,3,110,0,0,0,16,2,5,9,120,3,0,0,0,1,3,64,5,6,139,41,0,33,6,32,2,13,17,5,7,9,3,9,4,490,0
"OTU100.NN.Eubacterium_saphenum_GU427005.D.91",15,0,2,3,0,3,3,0,2,40,0,2,1,1,0,0,0,0,4,11,7,1,0,4,0,0,1,0,0,0,0,6,19,0,1,1,0,1,0,1,7,0,0,0,2,0,0,2,1,2,5,8,4,0,0,0,0
"OTU1000.NN.Bacteroides_vulgatus_BNRRR16SA.D.96_9",3639,2876,502,848,2481,5125,524,2833,2854,3375,388,2179,1356,1902,3487,25810,3200,0,3969,387,932,2007,1552,13,5,102,13580,682,35320,16930,10040,9144,2519,5936,130,1687,14170,1436,815,729,5138,3218,32,2526,665,434,1162,687,830,1349,2032,926,4682,867,35,7327,283
"OTU1028.NN.Ruminococcus_gnavus_JN713312.D.95_6",0,0,4,17,0,0,7,4,1,2,0,8,7,3,16,1,0,1671,0,1,2,4,5,1,4,4,148,964,3379,16680,10,0,1,54,4,115,7,19,0,0,17,8,0,876,2,2,0,0,1,1,1,183,0,4,35,557,12
"OTU1033.NN.Ruminococcus_bromii_DQ882649.D.88",11,10,143,14,17,16,42,19,18,12,6,23,14,33,2,0,12,1,1,101,2,0,28,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,4,11,0,9,1,7,0,0,0,82,0,0,18
"OTU1051.NN.Christensenella_minuta_AB490809.D.87_2",7,13,2,36,53,30,1665,32,8,10,21,21,65,43,0,0,118,53,37,44,53,0,31,6,0,44,0,0,0,1,0,627,0,0,1,31,0,2,11,21,0,0,7,0,52,169,34,31,82,3,23,719,8,16,6,0,59
"OTU107.NN.Blautia_glucerasea_AB588023.D.95_6",2360,8,10,20,17,53,100,17,9,119,23,565,18,44,34,0,6,55,23,48,13,10,8,12,0,12,3,0,1,1,0,1,7,0,69,19,28,0,36,33,577,18,10,38,11,19,19,16,38,8,414,4,7,41,0,35,9
"OTU1074.NN.Papillibacter_cinnamivorans_AF167711.D.85_3",22,32,4,0,0,0,5,21,95,0,19,140,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,10,48,13,0,0,2,0,0,0
"OTU1087.NN.Blautia_glucerasea_AB588023.D.93",396,10,13,47,9,10,18,32,0,347,18,1,14,0,20,0,0,120,95,2,23,13,12,0,0,36,2,2590,9,0,0,0,4,0,16,0,0,0,5,5,0,0,1,1,0,0,1,2,0,0,121,22,5,6,0,0,4
"OTU1103.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.92_3",16,0,1,0,0,29,0,72,1,9,13,0,10,3,0,0,9,3,2,9,19,0,63,3,0,5,40,0,0,3,0,0,3,0,0,10,0,1,0,0,0,0,2,0,0,36,21,0,6,4,5,0,0,41,4,4,8
"OTU1147.NN.Clostridium_glycolicum_AY007244.D.96_3",51,0,2641,57,982,552,9,219,3,94,43,0,101,2916,0,4,937,32,137,2,0,1,3,6,1,9,3,0,460,30,2,1,7,10,1871,720,2,12,1876,9,0,372,1,0,0,88,4,335,215,10,1407,0,182,16,0,0,42
"OTU1160.NN.Clostridium_methylpentosum_Y18181.D.94_6",0,0,2,16,10,12,3,0,0,0,0,0,17,5,9,0,22,0,23,35,1,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,3,0,2,3,8,4,2,0,1,0,12,0,0,0
"OTU117.NN.Clostridium_bolteae_AJ508452.D.90_7",71,192,8,18,0,22,524,0,0,0,0,0,0,0,37,0,0,0,16,5,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0,2,0,29,0,0,0,0,0,0,0,3,0,28,0,35,0,0,0,10,0,0
"OTU119.NN.Papillibacter_cinnamivorans_AF167711.D.91_1",71,12,87,29,92,74,372,7,15,20,9,257,26,16,0,0,224,248,27,1,0,33,453,18,0,0,0,0,0,3,0,5,0,0,107,0,0,131,23,110,0,0,21,0,164,17,58,6,0,27,82,215,124,141,1,0,20
"OTU1226.NN.Oscillibacter_valericigenes_AB238598.D.94_8",8,0,1,0,0,5,38,0,0,6,11,0,30,0,0,0,19,25,6,0,0,0,36,1,0,0,0,0,0,0,0,26,0,0,0,0,3,0,4,1,0,208,0,20,11,9,27,4,69,3,10,0,11,0,0,0,1
"OTU1240.NN.OscillospiraClostridium_viride_X81125.D.86",2,21,3,66,0,0,82,0,7,0,0,0,7,54,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,2,12,2,0,0,0,0,0,15,0,0
"OTU126.NN.Alistipes_marseilloanorexicus_JX101692.D.90_9",72,9895,1026,5,4519,21510,755,5558,2,0,5,0,22300,5,0,0,2,2,1,10360,0,6273,47,4,2,0,3,0,0,12,0,48,1,0,15,13460,5,0,0,0,0,10,5,1311,0,728,15,0,0,1,2,3,0,6357,2734,0,1215
"OTU1288.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.92_8",0,0,0,10,0,3,5,0,0,0,0,7,0,1,6,0,3,3,3,3,3,3,17,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,3,7,0,1,14,0,1,0,0,6
"OTU1291.NN.Lactobacillus_gasseri_JQ805634.D.97",0,13,23,25,28,0,4,63,3,0,8,0,26,10,8,1,0,0,1,12,7,0,0,0,11,1,10,0,0,8,0,0,0,173,0,0,12,3,0,5,0,0,0,2,0,0,2,14,5,10,7,56,8,0,0,581,0
"OTU131.NN.Oscillibacter_valericigenes_AB238598.D.93_5",3,0,3,2,1,3,4,0,5,0,0,0,27,1,1,0,12,0,0,15,3,7,0,4,0,1,0,0,0,0,0,0,0,0,1,2,0,3,3,7,0,0,0,0,3,0,2,17,0,0,0,22,3,12,13,1,3
"OTU1335.NN.Oscillibacter_valericigenes_AB238598.D.95_6",34,39,9,57,24,95,44,127,85,8,20,25,32,26,17,0,0,14,8,18,22,0,247,0,0,0,0,0,0,0,0,1,15,0,5,5,0,0,9,0,0,0,2,8,41,45,36,1,87,0,19,10,4,3,14,8,8
"OTU1337.NN.Desulfovibrio_desulfuricans_DVURRDA.D.89",4,11,34,55,100,0,19,173,7,3,35,0,42,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,8,3,0,0,0,0,0,0
"OTU1339.NN.Clostridium_clariflavum_NR_102987_1.D.76_8",78,6,10,0,0,0,3,202,14,1,343,32,3,1013,0,0,8,0,457,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,76,7,2079,465,95,0,82,0,1,0,0,0,0
"OTU1358.NN.Oscillibacter_valericigenes_AB238598.D.91_3",185,142,25,23,0,0,161,32,259,68,28,54,4,47,0,0,0,0,12,0,0,0,119,195,0,3,5,0,2,2,0,6,0,0,129,0,2,0,561,65,0,0,5,0,27,31,125,90,266,19,276,64,16,7,12,0,0
"OTU136.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.91_2",25,23,0,0,0,1,0,0,0,110,107,0,59,14,0,0,0,0,0,14,31,0,0,0,0,0,1,0,0,0,0,2,9,0,6,0,0,0,9,0,0,0,5,0,0,13,1,24,265,0,12,0,0,0,52,0,0
"OTU1376.NN.Acinetobacter_septicus_EF611418.D.96",0,2,6,14,6,4,1,30,0,0,7,4,2,5,2,5,0,5,0,14,6,0,1,1,2,0,2,0,1,7,0,0,0,0,7,0,0,0,8,0,1,0,0,0,0,8,2,2,0,3,0,11,17,1,0,0,1
"OTU1387.NN.Alistipes_timonensis_JF824799.D.96_6",593,260,1225,321,2671,5133,10829,3144,2132,23,50,375,257,38,2,166,1116,0,111,1845,325,1680,2141,3,1,95,559,0,1,3,1,20,2,0,7,9,2,2395,287,507,14,1961,10,24,8,1001,411,97,17,4,110,184,234,2,274,149,471
"OTU1390.NN.Parabacteroides_gordonii_AB470344.D.80_1",7,0,0,0,0,1,4,17,1,1,0,0,15,24,0,1,0,1,0,0,0,0,3,2,0,0,0,0,20,44,0,0,112,5,2536,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,455,0,1,21100,0,0
"OTU1413.NN.Mesorhizobium_loti_RLU50164.D.82_1",3,5503,0,0,0,0,1466,301,5714,0,0,0,2,0,1489,0,0,0,141,0,21380,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,137,0,0,0,0,0,2,2,795,0,0,1,1,33,1,4,0,0
"OTU1424.NN.Dorea_formicigenerans_EUBRRDP.D.96_7",99,4,7,31,3,1,7,18,7,58,8,14,99,10,2,170,22,722,192,2,31,10,12,22,0,6,27,1200,4,147,0,5,16,1,9,40,0,0,2,3,0,145,3,16,16,3,11,13,12,9,110,19,30,2,4,139,14
"OTU1482.NN.Veillonella_atypica_X84007.D.96_9",78,15,7,5,16,10,36,62,372,8,143,15,75,23,64,3,18390,1139,987,2018,2549,74,32,1550,22700,135,10260,4599,718,705,5050,48630,3623,27060,848,217,72020,17,1816,2375,10920,15230,1935,6,994,46,408,86,179,5,138,2,104,3,352,8965,130
"OTU1491.NN.Eubacterium_sulci_AJ006963.D.90_3",87,15,8,10,4,5,27,0,10,0,6,13,3,2,0,0,46,391,166,0,250,0,7,0,0,7,0,0,0,0,1,7,0,0,0,15,0,0,0,3,21,3,2,258,0,0,9,7,26,9,2,221,9,2,0,0,33
"OTU1513.NN.Christensenella_minuta_AB490809.D.84_3",11,0,3,6,22,0,3,1,1,1,0,2,6,0,0,0,0,1,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,0,9,3,0,3,0,0,10,0,0,6
"OTU152.NN.Oscillibacter_valericigenes_AB238598.D.94_3",4482,1858,315,236,282,661,214,3485,696,5858,282,412,2966,1654,189,57,1593,1,1521,582,397,1790,1062,8216,1,175,10,1,2,18,1,264,1,1,655,68,12,89,476,1173,1,1,288,74,694,30,2402,1661,2146,864,9308,3539,433,39,292,48,280
"OTU1524.NN.Anaerofilum_pentosovorans_X97852.D.90_6",12,0,4,12,62,10,0,15,0,0,7,254,45,10,39,8,15,23,0,3,182,2,7,0,0,0,6,0,4,0,0,0,0,0,0,22,0,27,12,0,0,0,0,0,0,0,0,21,5,0,3,99,0,10,0,0,22
"OTU1527.NN.OscillospiraPseudoflavonifractor_capillosus_AY136666.D.93_9",19,6,18,58,100,16,21,27,130,6,8,57,82,8,37,81,26,49,6,60,18,80,146,1,0,0,10,0,0,0,0,24,57,0,24,90,2,79,61,2,0,1,0,21,130,67,0,9,48,19,19,151,14,85,1,122,45
"OTU1536.NN.Eubacterium_ventriosum_EUBRRDAB.D.95_6",48,27,51,75,31,23,767,114,72,9,95,93,94,22,62,0,644,1,2,121,317,207,24,0,0,0,82,0,0,0,87,22,0,0,0,20,0,2,9,0,0,0,3,221,21,13,43,3,107,1,603,130,1240,4,0,0,0
"OTU1551.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.91_1",1,0,0,1,5,4,0,103,0,0,3,0,79,4,2,0,74,124,1,69,17,3,32,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,45,0,131,0,2,30,6,0,0,0,71,0,0,14
"OTU1552.NN.Catabacter_hongkongensis_AB671763.D.82_8",5,3,0,0,15,0,5,110,4,0,8,0,0,9,0,0,0,0,6,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,145,2,18,0,2,0,29,0,0,0
"OTU156.NN.Oscillibacter_valericigenes_AB238598.D.95_3",769,561,53,54,88,288,124,1,642,387,34,0,72,42,104,218,203,6,33,67,41,162,53,433,1,0,1,0,8,7,0,141,1999,574,489,0,0,0,402,236,0,2033,53,0,217,161,705,403,867,52,481,138,1184,15,12,0,0
"OTU1560.NN.Oscillibacter_valericigenes_AB238598.D.90_2",2,4,0,0,20,0,0,7,0,0,1,0,0,5,12,0,10,3,0,2,32,1,0,0,0,9,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,7,8,18,1,0,11,0,19,0,0,0,0,5,9
"OTU1568.NN.Clostridium_sporosphaeroides_CLORR16SAD.D.93_7",1,0,0,5,3,2,4,0,4,0,1,4,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,5,0,0,0,84,2,1,0,3,1,0,0,28,0,3,0,4,0
"OTU1592.NN.Christensenella_minuta_AB490809.D.88_2",1,5,0,2,0,4,6,10,0,1,4,23,9,6,0,0,0,2,3,29,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,30,16,3,1,69,0,32,3,0,0
"OTU160.NN.Intestinimonas_butyriciproducens_JX101685_1.D.91_4",3186,360,396,146,2,374,16,1,371,384,90,17,630,314,0,0,222,0,852,115,162,0,163,16,0,193,0,0,3,11,0,0,0,0,897,14,6,0,89,0,0,925,24,0,880,191,4073,226,56,0,53,0,1170,0,33,0,545
"OTU1615.NN.Eubacterium_ventriosum_EUBRRDAB.D.95_1",10,20,5,0,0,6,0,2,0,2,0,0,0,156,0,0,0,0,1,24,0,95,0,0,0,0,0,0,0,0,0,0,2,0,0,166,0,0,0,0,0,0,0,0,10,0,0,7,24,0,37,51,0,0,7,0,0
"OTU1616.NN.Fusicatenibacter_saccharivorans_AB698912.D.90_2",2939,39,33,60,56,18,102,150,270,419,40,215,247,45,81,1,36,161,71,45,38,65,136,23,0,45,36,663,21,6,19,5,4,3533,29,34,0,4,37,33,29,82,17,149,14,12,11,66,17,27,634,39,71,11,2,610,5
"OTU1632.NN.Ruminococcus_bromii_DQ882649.D.86_7",12,16,1,1,0,8,2,1,11,8,0,46,20,0,0,0,0,0,3,63,10,6,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,6,0,0,0,1,0,6,0,33,6,24,2,0,0,75,1,0,0
"OTU1678.NN.Veillonella_dispar_GQ422726.D.94_9",2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,55,0,0,0,270,0,0,162,1,0,96,0,0,94,0,0,109,1050,0,9,0,0,0,0,0,26,4,0,0,0,38,0,0,7,0,0,0,2,0,0,0
"OTU1683.NN.Ruminococcus_bromii_DQ882649.D.90",1,0,5,0,3,25,3,75,7,0,3,0,6,5,0,0,0,17,5,0,5,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,4,2,0,0,0,15,2,0,0
"OTU1688.NN.Gemmiger_formicilis_GU562446.D.92_5",11,153,68,76,55,19,37,19,49,3,14,51,144,66,11,1301,29,30,17,122,132,94,27,4,0,1,90,0,85,24,57,18,0,0,9,89,0,114,27,53,165,6,0,115,1,11,35,34,8,33,2,429,125,36,21,118,67
